Vertex_ID,Curvature_Radians,Incident_Triangles,Is_Boundary,X_Coord,Y_Coord
0,0.000000,11,Boundary,177.71,129.43
1,0.303009,5,Interior,177.99,128.93
2,0.219974,4,Interior,180.09,123.65
3,0.377298,4,Interior,182.76,118.70
4,0.419464,7,Interior,186.44,114.83
5,0.110978,10,Interior,190.29,110.27
6,0.082086,6,Interior,193.11,105.48
7,0.037116,4,Interior,196.02,100.69
8,0.040027,6,Interior,200.83,96.86
9,0.081185,4,Interior,205.24,93.03
10,0.005580,6,Interior,208.97,89.56
11,0.071583,8,Interior,213.04,86.03
12,0.012755,4,Interior,216.49,81.44
13,0.140110,6,Interior,219.87,77.68
14,0.197996,4,Interior,223.43,74.13
15,0.002388,7,Interior,227.52,70.97
16,0.027433,5,Interior,231.22,66.85
17,0.134434,7,Interior,235.29,63.89
18,0.000000,2,Boundary,238.99,60.21
19,0.000000,2,Boundary,236.71,55.72
20,0.000000,4,Boundary,233.40,51.90
21,0.000000,6,Boundary,229.70,48.44
22,0.011162,5,Interior,224.06,49.21
23,0.063971,6,Interior,217.81,49.54
24,0.203395,4,Interior,212.47,49.05
25,0.387516,9,Interior,207.60,47.23
26,0.068501,5,Interior,202.98,46.87
27,0.069304,4,Interior,203.07,47.23
28,0.323946,5,Interior,202.87,47.28
29,0.722726,5,Interior,197.43,45.95
30,0.501305,8,Interior,192.47,44.36
31,0.091685,5,Interior,187.05,42.92
32,0.051241,5,Interior,181.80,43.73
33,0.014757,5,Interior,176.66,42.93
34,0.001640,5,Interior,172.25,40.53
35,0.054367,8,Interior,169.59,36.25
36,0.050259,4,Interior,164.05,34.84
37,0.333300,9,Interior,160.01,31.21
38,0.365704,6,Interior,154.47,29.40
39,0.024168,4,Interior,149.32,27.98
40,0.100065,6,Interior,144.40,25.81
41,0.023850,6,Interior,139.17,24.61
42,0.000386,4,Interior,133.65,25.49
43,0.089603,6,Interior,128.41,23.58
44,0.096217,5,Interior,123.91,21.04
45,0.071487,3,Interior,119.64,18.18
46,0.044779,8,Interior,117.97,13.45
47,0.031215,7,Interior,115.22,8.49
48,0.162793,5,Interior,110.69,5.63
49,0.000000,6,Boundary,105.54,3.65
50,0.028362,5,Interior,100.21,2.83
51,0.614083,5,Interior,98.18,2.15
52,0.046341,4,Interior,97.93,1.98
53,1.941836,4,Interior,97.87,1.93
54,1.228186,6,Interior,97.56,1.85
55,0.000000,3,Boundary,92.39,0.33
56,0.000000,2,Boundary,87.30,0.00
57,0.000000,4,Boundary,82.12,0.36
58,0.089423,4,Interior,77.11,1.68
59,0.070656,6,Interior,72.04,4.50
60,0.208533,5,Interior,66.74,6.35
61,0.010794,5,Interior,61.05,8.20
62,0.000000,6,Boundary,55.29,6.91
63,0.000000,3,Boundary,50.08,8.55
64,0.269278,5,Interior,45.15,11.81
65,0.002176,5,Interior,41.16,15.19
66,0.000000,6,Boundary,36.21,16.41
67,0.051639,5,Interior,32.38,20.09
68,0.101180,4,Interior,29.18,24.13
69,0.358676,8,Interior,24.53,26.63
70,0.028397,6,Interior,21.18,30.61
71,0.144870,4,Interior,17.86,35.45
72,0.115810,6,Interior,13.23,38.25
73,0.221839,4,Interior,9.14,41.57
74,0.108863,7,Interior,4.38,44.45
75,0.000000,3,Boundary,0.00,47.69
76,0.000000,5,Boundary,3.64,51.35
77,0.019958,5,Interior,8.15,54.23
78,0.001724,6,Interior,12.64,51.66
79,0.042537,6,Interior,17.06,49.09
80,0.038388,6,Interior,22.13,46.04
81,0.009127,6,Interior,26.60,42.78
82,0.007687,6,Interior,31.05,40.11
83,0.015725,6,Interior,35.57,37.37
84,0.033012,5,Interior,40.14,34.51
85,0.039745,7,Interior,44.83,32.56
86,0.000798,5,Interior,49.68,30.54
87,0.181624,8,Interior,53.93,27.73
88,0.054090,5,Interior,58.87,27.28
89,0.005873,5,Interior,57.86,26.76
90,0.165470,3,Interior,57.47,26.59
91,0.082704,8,Interior,57.42,26.48
92,0.099398,7,Interior,63.36,26.04
93,0.028577,6,Interior,68.93,26.30
94,0.051329,6,Interior,73.91,25.14
95,0.019602,5,Interior,78.96,23.92
96,0.050767,8,Interior,84.27,22.51
97,0.026109,9,Interior,89.78,21.21
98,0.005677,7,Interior,95.18,21.73
99,0.027958,7,Interior,97.29,26.39
100,0.007238,6,Interior,94.48,31.21
101,0.005238,5,Interior,91.15,35.71
102,0.004828,7,Interior,86.88,39.06
103,0.001949,5,Interior,81.15,39.96
104,0.004201,5,Interior,75.63,41.49
105,0.013163,6,Interior,70.02,41.91
106,0.016717,6,Interior,64.98,43.57
107,0.005260,7,Interior,60.26,46.00
108,0.022342,6,Interior,55.71,48.47
109,0.035827,7,Interior,50.54,51.16
110,0.001778,5,Interior,46.24,53.95
111,0.024886,7,Interior,41.88,57.24
112,0.000467,6,Interior,37.48,60.62
113,0.008359,6,Interior,33.33,63.48
114,0.000049,5,Interior,30.16,67.35
115,0.005726,5,Interior,29.91,72.48
116,0.000764,5,Interior,31.42,77.88
117,0.010122,6,Interior,35.59,82.15
118,0.001242,6,Interior,39.36,85.72
119,0.000000,6,Boundary,42.85,90.41
120,0.000000,2,Boundary,46.90,94.14
121,0.000000,3,Boundary,52.25,96.39
122,0.041403,9,Interior,57.45,96.86
123,0.012623,6,Interior,60.36,91.96
124,0.003496,6,Interior,63.32,87.59
125,0.014983,5,Interior,65.34,82.77
126,0.013395,7,Interior,68.35,77.82
127,0.002016,5,Interior,71.77,73.20
128,0.002160,6,Interior,74.69,68.94
129,0.017015,6,Interior,78.20,64.39
130,0.004594,7,Interior,81.73,60.57
131,0.001876,7,Interior,81.71,55.57
